keywords_list,burst_detected,bursts_str
spaceport,TRUE,10; 12
space–time,TRUE,22; 24
spectacle,TRUE,22; 24
stakeholder,TRUE,20; 22
star,TRUE,24
stargazing,TRUE,24
starlight reserve,TRUE,22; 24
starlight tourism destination,TRUE,21; 23
suborbital space flight,TRUE,10; 12
suborbital space tourism,TRUE,24
sustainability,TRUE,17; 19; 23
sustainable development,TRUE,2; 21; 23
sustainable development and strategy,TRUE,22; 24
sustainable development goals,TRUE,24
sustainable rural tourism,TRUE,20; 22
sustainable tourism,TRUE,22; 24
sustainable tourism development,TRUE,22; 24
sustainable tourism offer,TRUE,22; 24
sustainable trajectory,TRUE,24
technology,TRUE,22; 24
technology innovation,TRUE,22; 24
terrestrial astrotourism,TRUE,21; 23
territorial development,TRUE,22; 24
territórios de baixa densidade,TRUE,22; 24
the body,TRUE,19; 21
the netherlands,TRUE,24
tour,TRUE,19; 21
tourism,TRUE,19; 21; 24
tourism branding,TRUE,22; 24
tourism experience,TRUE,24
tourism mobility,TRUE,17; 19
tourism participant motivation,TRUE,21; 23
tourism trends,TRUE,22; 24
tourist,TRUE,22; 24
tourist experience,TRUE,17; 19; 24
tourist loyalty,TRUE,22; 24
tourist motivation,TRUE,3; 5
tourist perceptions,TRUE,24
transhumanism,TRUE,22; 24
travel,TRUE,22; 24
trustworthiness,TRUE,24
type,TRUE,19; 21
un guiding principles,TRUE,24
unsustainable developments,TRUE,22; 24
usefulness,TRUE,24
vab model,TRUE,24
virgin galactic,TRUE,10; 12
virtual reality,TRUE,19; 23
virtual tourism,TRUE,22; 24
virtual travel,TRUE,22; 24
visitor,TRUE,24
wageningen university & research,TRUE,24
wi fi data,TRUE,22; 24
